id,date,score,name,lat,lon
8505568,2014-12-02,79,Jam on Hawthorne,45.512353218,-122.642821378
8204730,2014-12-01,100,Murata,45.511592755,-122.678605989
3608255,2014-12-01,100,Panera Bread,45.610303,-122.676948
9005095,2014-12-01,97,Hopworks Bike Bar,45.551424282,-122.667083582
9005097,2014-12-01,92,Cafe Wonder,45.540639595,-122.663383532
9005094,2014-12-01,97,Chefstable Bakery,45.553117,-122.666712
8204729,2014-12-01,97,Greenleaf,45.513835898,-122.677560254
9005096,2014-12-01,95,Sloans Tavern,45.540968558,-122.667002137
3608259,2014-12-01,100,Swan Garden,45.568197556,-122.681770142
8505565,2014-12-01,95,Doug Fir Restaurant,45.522554922,-122.657129006
8505566,2014-12-01,87,Teote,45.511374,-122.653704
3608256,2014-12-01,100,Moes Deli at Jubitz Truck Stop,45.597749164,-122.669417036
9005091,2014-11-30,90,Pine State Biscuits,45.558845266,-122.642688843
9005092,2014-11-30,97,Enzo Cafe Italiano,45.559200042,-122.639192675
9005089,2014-11-30,100,Elevated Coffee,45.561044771,-122.661983371
9005093,2014-11-30,0,Papa Gs Deli,45.504757519,-122.642354186
9005090,2014-11-30,100,Caffe Brioso,45.551161186,-122.661923658
8106419,2014-11-28,95,Nob Hill Bar Grill,45.529342371,-122.698670229
9903994,2014-11-28,87,Radar,45.551634543,-122.675845695
9903995,2014-11-28,95,Divine Frozen Yogurt,45.551334172,-122.675223451
8106418,2014-11-28,97,Kornblatts Delicatessen,45.52743519,-122.698306326
8106421,2014-11-28,0,Toast and Pho Restaurant,45.52370187,-122.69474297
8106420,2014-11-28,97,Santa Fe Taqueria,45.528588491,-122.698642098
8106417,2014-11-28,95,Joes Cellar,45.53243309,-122.694335342
6205090,2014-11-26,100,Rain City Coffee,45.537556822,-122.621634692
8106414,2014-11-26,100,McDonalds 3972,45.523190862,-122.689538291
8106412,2014-11-26,97,Cha! Cha! Cha! Mexican Restaurant,45.526349592,-122.683472355
6205093,2014-11-26,97,Thai Abode,45.546310577,-122.593578179
3608254,2014-11-26,0,Corner Spot Tavern Surveillance,45.566524072,-122.695268097
8106413,2014-11-26,0,SOI 9,45.522684332,-122.690846351
8505562,2014-11-26,0,China Wind Restaurant,45.497670753,-122.576454052
3608250,2014-11-26,79,Slims Rest/Lounge,45.590496323,-122.754888475
6608854,2014-11-26,97,Side Street,45.516715768,-122.62926473
9505525,2014-11-26,100,Milos Espresso,45.504296714,-122.496174205
6205092,2014-11-26,100,Bacchis Italian Deli,45.540136217,-122.601303106
6205094,2014-11-26,97,Pirates Cove,45.549466667,-122.586530653
6608856,2014-11-26,92,Pied Cow Coffeehouse,45.51639923,-122.631702159
6608853,2014-11-26,95,Saint Cupcake Deluxe,45.516398108,-122.630901632
6004120,2014-11-26,89,Lauretta Jeans,45.50462,-122.629436
6004118,2014-11-26,100,Mez on Broadway,45.520385604,-122.678677856
9505524,2014-11-26,97,FT Cafe,45.503012,-122.537637
9505523,2014-11-26,100,Dottys 32,45.526408,-122.478133
6608855,2014-11-26,87,Hodas on Belmont,45.516505838,-122.629517228
6004119,2014-11-26,94,Rice Junkies,45.519907448,-122.680840355
3608253,2014-11-26,94,TukTukThai Restaurant,45.577079412,-122.699958209
6805738,2014-11-25,100,Dial  A Pizza 2,45.537480965,-122.578876846
8505558,2014-11-25,82,Daily Planet,45.49637344,-122.546362545
6105999,2014-11-25,100,Quan Linh Asian Bistro,45.50792243,-122.578101829
8505559,2014-11-25,100,AMF 20th Century Lanes 501,45.496399722,-122.567973699
8106411,2014-11-25,92,Cha Taqueria and Bar,45.525087481,-122.694686354
3608246,2014-11-25,97,Signal Station Pizza,45.589216668,-122.75229089
8505561,2014-11-25,100,72nd Avenue Pub,45.468177492,-122.589039575
6205089,2014-11-25,100,52nd Ave Sports Bar,45.540186772,-122.609947291
8704474,2014-11-25,92,Apizza Scholls,45.512081021,-122.613695779
