id,rest_id,date,score,name,laws,lat,lon
6805795,2,2014-12-20,100,108 Bar N Grill,"",45.533687,-122.550565
6806002,3,2015-04-01,100,205 Bon Teriyaki,"",45.517932,-122.557398
8106596,4,2015-02-02,92,21st Avenue Bar Grill,"3-603.11,3-502.12(A)(B)(4)(C)(D)(2b-e)(E)(1)",45.528156,-122.694861
8106720,6,2015-03-30,100,24 HR Fitness NW,"",45.528283,-122.683823
8404052,7,2015-01-13,97,24th and Meatballs,4-302.12,45.52648,-122.64163
8505644,10,2014-12-30,89,3 Doors Down Cafe,"3-501.16,3-501.17,4-203.12",45.512304,-122.626088
9505737,11,2015-02-27,100,3 Reyes Restaurant,"6-201.18,6-202.11",45.51872,-122.477126
8505548,12,2014-11-18,100,400 Cafe Sundries,"",45.520591,-122.677382
6609159,13,2015-03-27,86,442 Soccer Bar,"2-401.11,6-301.12,3-501.16,3-501.17,6-202.14",45.512308,-122.647731
8106758,14,2015-04-16,100,45th St Pub  Grill,"",45.48602,-122.723417
6205089,16,2014-11-25,100,52nd Ave Sports Bar,"5-205.15(B),3-304.15(B)(D)(E)",45.540103,-122.609997
8403956,17,2014-11-19,92,715 Inn,"3-302.11(A)(1,2),4-601.11(A),6-202.14",45.53529,-122.658138
8505561,19,2014-11-25,100,72nd Avenue Pub,"",45.468271,-122.589147
7905821,20,2014-11-06,89,82nd Street Bar and Grill,"3-302.11(A)(1,2),3-501.17,3-603.11,4-204.112(A)(B)(D)",45.486112,-122.57848
3607616,21,2014-01-16,97,A J Java,6-501.111(C),45.569554,-122.675244
6205198,22,2015-02-19,94,A L Sports Pub,"3-603.11,4-302.12,4-602.13",45.52677,-122.602541
8404121,29,2015-02-12,100,Academy Theater,"",45.518991,-122.582789
9903869,30,2014-09-24,92,Acadia Bistro,"3-304.15(B)(D)(E),3-301.11,5-203.11,3-203.12,3-501.16,3-603.11,3-502.11,3-304.12,4-101.19",45.548391,-122.652599
6105978,31,2014-10-20,100,Acapulco Restaurant,"",45.518072,-122.554497
8106623,32,2015-02-17,100,Acapulcos Gold NW,"",45.536678,-122.70528
8204686,33,2014-10-15,100,Acapulcos Gold SW,3-304.12,45.467815,-122.713051
6805817,37,2015-01-09,100,Ace Tavern,"",45.555379,-122.570761
6105891,38,2014-07-17,100,Acena Restaurant,"",45.468752,-122.652735
9005080,39,2014-11-23,100,Aces Cafe,,45.498529,-122.640909
6204991,42,2014-09-25,94,Acropolis Mcloughlin,"4-601.11(A),4-302.12",45.462443,-122.639169
3608337,45,2015-01-14,100,Adidas Campus Copa Cafe,,45.559256,-122.693924
6004235,46,2015-05-01,94,Adobe Rose Cafe,"3-501.17,3-501.15",45.473488,-122.64915
8505620,48,2014-12-19,95,Adventist Medical Ctr Garden Cafe -Living Well,"3-501.16,3-304.12",45.512276,-122.559079
6805918,51,2015-02-13,97,Ah Fong Kitchen,"4-601.11(A),3-304.14",45.509881,-122.579121
6205305,53,2015-04-22,97,Airport Cafe,"3-501.15,3-304.14",45.567683,-122.581041
8106389,54,2014-11-18,97,Aki Seafood & Noodles,6-301.11,45.536288,-122.706543
8505494,55,2014-10-30,95,Al Amir Restaurant,3-501.16,45.520372,-122.673839
3404486,57,2015-02-03,79,Aladdins Cafe,"2-102.11(A)(B)(C)(1,4-16),3-302.11(A)(1,2),3-501.14,3-501.17,7-201.11,3-305.11,4-601.11(B)(C)",45.568339,-122.630652
6205041,58,2014-10-22,100,Alameda Brew House,"",45.548482,-122.613645
9904124,60,2015-03-27,97,Alberta Rose Theatre,3-501.17,45.558792,-122.63471
8403954,62,2014-11-19,100,Albertinas,"4-204.112(A)(B)(D),6-202.14",45.526053,-122.643023
8404171,64,2015-03-06,100,Albina Press,"",45.511857,-122.611153
6608733,66,2014-10-14,83,Alder Pastry and Dessert Surveillance,"3-603.11,4-501.114(C),4-204.112(A)(B)(D),7-101.11,3-502.11,6-501.111(C),3-501.13,5-501.113",45.522689,-122.640498
9505777,67,2015-03-20,94,Alexanders Deli,4-302.14,45.52264,-122.477106
8204661,68,2014-09-25,95,Alexandrya Mediterranean Cuisine,"3-302.11(A)(1,2)",45.50917,-122.682235
3404480,71,2015-01-27,82,Alibi Restaurant Lounge,"5-202.12(A),3-501.17,3-603.11,4-601.11(B)(C),4-501.116,4-602.11(E),93Q,2-301.15,2-102.11(A)(B)(C)(1,4-16)",45.552552,-122.680582
9005063,75,2014-11-09,95,All Spice Deli,"3-501.19(B)(1,3,4)(C)(1,4,5),3-304.14",45.518509,-122.682915
6204845,76,2014-06-02,86,Alle Amin Restaurant,"2-401.11,3-302.11(A)(1,2),4-601.11(A),6-501.111(C),3-304.14,4-501.14,4-602.13,6-501.114,97A",45.526741,-122.584866
9903955,77,2014-11-06,97,Alleyway Cafe,"7-102.11,6-202.15(A)(D),4-602.11(E),6-501.115,6-501.12",45.559227,-122.640572
9903975,78,2014-11-18,90,Almos Cosina Surveillance,"7-202.12(A)(2)(3)(B),6-501.111(A)(B)(D),3-303.11",45.55925,-122.656148
6805945,79,2015-02-26,100,Aloft Portland Airport at Cascade Station,"",45.573226,-122.560944
8106676,80,2015-03-10,97,Alotto Gelato,4-302.14,45.529607,-122.698823
6204972,82,2014-09-16,92,Amalfis,"3-501.16,3-602.11(B)(5),3-602.11(A)(B)(1-4,6,7)(C)",45.548457,-122.614856
6205192,83,2015-02-17,97,Ambassador Restaurant and Lounge,"5-205.11,4-602.13,6-501.114",45.53841,-122.614182
8404301,85,2015-05-12,92,Ambridge Event Center,"3-501.18(A),3-501.17",45.532577,-122.662189
6205266,86,2015-03-30,95,American Dream Pizza,3-501.14,45.526238,-122.61522
9903721,88,2014-06-24,90,American Legion 134 The Poppy Lounge,"7-206.12,6-202.16,4-101.19,4-501.114(A)",45.558924,-122.643667
6806054,89,2015-04-17,100,Americas Best Value Inn,"",45.558793,-122.579071
8505559,90,2014-11-25,100,AMF 20th Century Lanes 501,"",45.496415,-122.567038
9005077,91,2014-11-17,97,AMF Pro 300 Lanes 179,4-601.11(A),45.497497,-122.634134
8404083,93,2015-01-29,100,And Cafe,"",45.522731,-122.607893
8106509,94,2014-12-30,100,Andina Restaurant and Bar,"",45.526332,-122.684575
6307031,95,2014-05-14,87,Andrews Waterhole Saloon,"4-501.114(A),4-302.14,3-303.11,6-101.11,6-501.12",45.518916,-122.460906
7906111,96,2015-02-25,97,Andys Bar,6-301.12,45.484274,-122.582088
8404205,97,2015-03-31,85,Angelos,"3-501.18(A),3-303.11",45.511868,-122.614718
6205186,98,2015-02-11,100,Angels Food and Fun,"",45.560108,-122.600852
8106621,99,2015-02-17,100,Anna Bannanas,"",45.531674,-122.694368
9904114,100,2015-03-24,95,Anna Bannanas Alberta,"3-501.16,4-602.11(E),3-602.11(A)(B)(1-4,6,7)(C),4-602.13,6-501.18",45.559063,-122.64088
3608212,101,2014-11-13,95,Anna Bannanas St Johns,2-301.12,45.590722,-122.755673
8505685,102,2015-01-22,100,Annes Deli,"",45.5161,-122.67482
6205267,103,2015-03-30,100,Annies Donut Shop,"",45.548015,-122.58907
9505806,104,2015-03-31,100,Annies Restaurant,"",45.518742,-122.483316
6004241,105,2015-04-29,97,Apex,"3-304.14,4-302.14",45.504523,-122.653359
8404228,106,2015-04-16,100,Apizza Scholls,"",45.512267,-122.613116
8505707,107,2015-01-27,97,Appethaizing Thai Cuisine,4-302.12,45.50492,-122.632387
8403905,108,2014-10-22,100,Applebees,"",45.533868,-122.65086
6608787,110,2014-10-30,91,Aprisa Mexica Cuisine,"6-301.11,6-301.12,4-301.11,3-304.14",45.506237,-122.657994
8204827,112,2015-04-28,79,Arabian Nights Cafe,"2-301.12,3-302.11(A)(1,2),3-501.14,3-501.17,4-302.12,3-304.12,4-601.11(B)(C)",45.514484,-122.683112
3608297,114,2014-12-15,100,Arbor Lodge,"",45.570065,-122.682495
6806068,115,2015-04-24,100,Arbys 1647,"4-602.13,3-304.14",45.518709,-122.559429
7905622,116,2014-07-11,95,Arbys 6298,3-501.16,45.483326,-122.579387
