inspection_id,law,violation_comments,corrective_comments
9505737,6-202.11,TWO FLUORESCENT BULBS OVER KITCHEN SHELVES LACK A COVER.,REPLACE ORIGINAL COVER OR GET PLASTIC TUBES (SLEEVES) OVER THESE LIGHTS TO PREVENT BROKEN GLASS FROM GETTING INTO FOOD.
9505737,6-201.18,TWO CEILING PANELS MISSING IN THE BASEMENT OVER THE ICE MACHINE AND CUP STORAGE RACKS.,REPLACE CEILING TILES.
3607616,6-501.111(C),"Dry storage:Observed mice droppings, please clean and maintain the area and please set some traps. Recheck will be done in 2 weeks",""
6105978,"","",""
8505620,3-304.12,Working kitchen utensils in Living Well Bistro in room temperature water with 'light sanitizer'. Please keep all working tools in water 41F or less or in water 135F or greater.,""
8505620,3-501.16,In Garden Cafe the Randell cold prep salad refrigeration unit in Garden Cafe was 45F - 46F. Tuna and egg salad 46F in drop down inserts. Cooked chicken stored over night in drawers in unit 45F. ***In the Living Well Bistro there was a sunflower seed pate at 44F in a drop down insert.,***Corrected by discarding all potentially hazardous foods in unit over 4 hours. Repair serviced called and arrived during inspection. I will return in approx. 2 weeks to reinspect the unit. ***In the Living Well Bistro the pate was tempted 2 hours earlier and was 40F. Chef decided to discard regardlessly. I reccommended using a deeper insert to keep the product colder.
6205041,"","",""
6608733,5-501.113,Trash dumpsters left open,""
6608733,3-501.13,Thawing meats on rack at room temperature,""
6608733,6-501.111(C),Over 30 small flies seen in the kitchen near food prep area and in the back of the kitchen area near ice machine and mop sink,Contact pest control service and follow steps listed in report. Will reinspect in two weeks.
6608733,3-502.11,Cooked meats in vac pacs in walk in cooler.,Corrected by discarding and setting some aside to take home for personal use
6608733,7-101.11,Unlabeled spray containers containing chemicals in the dishwashing area,Corrected by having PIC label spray bottles
6608733,4-204.112(A)(B)(D),Thermometer missing from 2 door cooler in food prep area,""
6608733,4-501.114(C),Three compartment sink was lacking quat sanitizer,Corrected- PIC replaced
6608733,3-603.11,"Consumer advisory must have all 3 parts of a consumer advisory.Menu is lacking a disclosure that the duck, hamburgers, and some other meats are not fully cooked.(has a disclosure that the lamb is not served well done - ok.)",Discussed and left pamphlet with the PIC. Must be corrected prior to recheck in 2 weeks.
8204661,"3-302.11(A)(1,2)",Observed raw chicken stored over raw ground beef in freezer located in back storage area.,-CORRECTED- RAW CHICKEN MOVED TO BOTTOM SHELFBELOW RAW GROUND BEEF.
6205192,6-501.114,"Throughout the establishment somewhat, but particularly in the very back of the establishment by the back door, there is a lot of clutter and what appears to be unnecessary items.",PLEASE REMOVE ITEMS NOT PERTINENT TO THE OPERATION OF YOUR RESTAURANT.
6205192,4-602.13,"While food contact surfaces are satisfactory, there is grime, grease and food debris under equipment, on walls and floors throughout the back of the house.","PLEASE DO A DEEP, THOROUGH CLEANING AND THEN CLEAN THESE AREAS MORE FREQUENTLY."
6205192,5-205.11,"In the kitchen, the handwash sink was obstructed by a 5-gallon bucket of batter sitting in it.",CORRECTED. The bucket was removed and the staff educated.
6205266,3-501.14,"In the walk-in several deep LEXAN pans filled with cooked sausage to a depth of 10 to 12 inches, temp-ed in the 56 to 58 deg F range. Thesea states that they had been cooked, allowed to cool, transferred to the LEXAN pan and placed in the walk-in about 45 min before I arrived.",CORRECTED. The sausage was returned to shallow pans and placed on ice. ALWAYS COOL FOOD AT A MAX DEPTH OF 2 TO 4 INCHES AND PLACE IN DEEPER PANS WHEN THE FOOD HAS REACHED 41 DEG F.
8404205,3-303.11,Plastic containers of mixers being chilled in ice to be used for customer's drinks.,***CORRECTED*** Issue discussed. Items removed.
8404205,3-501.18(A),Commercially processed shaved ham opened 3/16. Exceeding discard date.,***CORRECTED*** Item discarded.
6205186,"","",""
8106621,"","",""
8505685,"","",""
6205267,"","",""
8505707,4-302.12,Unable to locate thermometer.,***Corrected by purchasing another one. I will return to recheck or you can email me a picture elizabeth.sandberg@multco.us
3608297,"","",""
8704312,3-305.11,"Soups cooling in walk in (dated 3/18, 3/19) not covered.","After foods are cooled, cover to prevent contamination."
8704312,4-601.11(A),Back of slicer blade grimy.,Please clean after use.
8106799,"","",""
9904208,6-501.16,Mop is stored with wet mop head on floor of mop sink.,"After washing/rinsing mop after use, hang so that mop head can air dry between uses. This will reduce bacterial load on the mop head. Make sure hook provided allows the mop to drip/air dry without soiling walls."
9904208,6-202.11,Lights in prep and dish rooms are not shielded.,Provide shatteproof covers for lights in these areas.
9904208,6-501.12,"- An orange and other debris is present on floor behind/under ice machine. - Floor drains, especially at bar, are soiled with trash and debris buildup.",Clean and maintain.
9904208,3-305.11,- There is no splash shield between bar's dump sink and ice bin. - Large ice cubes are stored uncovered in lift top freezer.,- Provide splash barrier between ice bin and sink at bar.- Keep ice cubes ccovered/enclosed to protect from contamination.
9904208,4-101.19,Concrete flooring in dish washing and prep rooms absorbs liquid spills.,Refinish floors to be nonabsorbent so they can be maintained clean.
9904208,4-602.11(E),Interior drip plate of ice machine has mold buildup.,Increase frequency of cleaning/sanitizing interior of ice machine.
9904208,4-204.112(A)(B)(D),"- Prep reach-ins are not equipped with working thermometers.- Facility only has analog style bimetallic food thermometer, but does prepare thin/small foods such as fish fillets.",- Provide thermometers for inside all refrigerators.- Provide a thin tipped probe thermometer (see handout) to prevent a Priority Foundation (3 point) violation on future inspections.
9904208,3-603.11,"Menus contain footnote with potential health risk reminder, but specific menu items are not identified as containing raw/undercooked seafood/eggs.","CORRECTED DURING INSPECTION by marking existing menu, to be reprinted with items identified for tonight's dinner service. (Tuna ceviche and Cayo Aguachile scallops (typically served rare/medium rare) need symbols. Alsomark the Atun Tuna if customers may order it seared/undercooked.)"
9903855,3-603.11,"Menu includes Consumer Advisory and identifies dinner menu items that contain raw or undercooked meats/seafood with *. However, cocktail menu includes Southbound drink made with egg whites (from unpasteurized shell eggs) and this item is not identified with a *.- Menu also includes slow poached eggs which Chef describes as being poached for 50 minutes in ~140F water water and believes they are fully cooked, but describes the interiors as soft; this suggests internal temperature of the eggs does not reach 145F.","- CORRECTED DURING INSPECTION by reprinting menus with * added to egg white cocktail and Chef agreeing to take internal temperatures of slow poached eggs (using food thermometer). If they are not 145F or above, then Chef agrees to add * to slow poached eggs on menus (menus are reprinted frequently)."
9903855,6-202.15(A)(D),Gap under back door is large enough to allow entry of pests.,Provide tight seals around all doors and windows to prevent pest entry.
9903855,3-304.14,- Wiping cloth solution tests only 100ppm quat solution.- Quat sanitizer in spray bottle (used in restrooms) tests 0ppm quat.,- Corrected during inspection by dispensing fresh sanitizer; dispenser must be run for a few seconds before filling bucket in order to achieve 200ppm quat. Reviewed testing procedure with staff.- Discussed that spray bottles must be filled with fresh solution regularly in order to maintain sanitizer residual.
6608795,2-401.11,THERE WAS AN OPEN DRINK GLASS FOR THE BARTENDER BEHIND THE BAR.,***CORRECTED*** PUT BY THE DISHWASHER TO WASH.
8505822,"","",""
8404172,3-304.12,Plastic container floating in 5 gallon bucket of pickles,""
8404172,3-501.17,Quantity of cooked chicken in walk-in refrigerator not date-marked.,***CORRECTED*** Item properly date-marked.
6608840,6-202.11,LIGHTS IN THE KITCHEN WERE LACKING SHEILDS.,PROVIDE.
6608840,7-201.11,SPRAY CLEANER OVER FOOD SHELF AND PREP TABLE IN THE BACK KITCHEN AREA.WD40 STORED OVER SINGLE SERVICE CUPS UNDER THE FRONT COUNTER.LIGHTER FLUID STORED WITH CONTAINERS OF FOODS ON THE SHELVES OF THE KITCHEN.,****CORRECTED**** MOVED TO A SAFE LOCATION.
6608840,6-301.11,ONE SINK IN THE BAR WAS LACKING SOAP,***CORRECTED*** SOAP WAS SET OUT.
9505866,4-101.19,WALL BEHIND MAIN HANDWASH SINK DETERIORATING.,"MAKE SMOOTH, DURABLE, AND EASY TO CLEAN.RECOMMEND COVERING WITH A HARD PLASTIC OR METAL SURFACE THAT WILL WITHSTAND A WET AREA."
7905890,3-501.16,RAW GARLIC MIIXED WITH BUTTER SITTING AT ROOM TEMPERATURE,EDUCATED ABOUT BOTULISM HAZARD IN ANEROBIC ENVIRONMENTS & HAD PRODUCT KEPT REFRIGERATED FOR CORRECTION
6608629,6-301.12,THE SMALL RESTROOM WAS LACKING PAPER TOWELS.,**CORRECTED*** REFILLED UNIT.
6608629,3-501.16,"THE INSERT COOLER WAS HOLDING AIR AT 45 F,AND SOME FOODS INSIDE WERE AT 46-54 F.","DISCARD OFF TEMPERATURE FOODS.OPERATOR TURNED DOWN THIS COOLER.I WILL RECHECK ON THIS COOLER.IF COOLER DOES NOT COOL DOWN, THEN MORE ALL PHF TO WORKING COOLERS."
6608629,6-501.12,FLOORS IN CORNER AREAS OF THE KITCHEN AND UTILITY LINES IN THE KITCHEN WERE SOILED.,""
6608629,6-201.12,EXPOSED UTILITY LINES ON THE WALLS MAKING CLEANING MORE DIFFICULT SINCE OPENNING.,""
6608629,6-202.14,THE LARGE RESTROOM DOOR DOES NOT SELF CLOSE.,""
6608629,6-202.15(E)(2),OPERATOR HAS A LARGE GARAGE TYPE DOOR OPEN AND NO RISK CONTROL PLAN AVAILABLE FOR VIEW.,PROVIDE.
