id,score,rid
1,92,166
2,100,2690
3,95,908
6,100,1663
7,92,1334
8,84,2717
10,87,2869
11,100,1241
12,100,235
13,87,2037
14,90,1919
16,100,53
17,92,210
19,100,52
20,89,458
21,97,5492
22,92,2262
24,100,781
25,79,3630
28,100,5353
29,100,2188
30,92,1242
31,100,829
32,84,3682
33,100,884
34,100,1303
36,94,3101
37,100,2313
38,100,2168
39,100,113
42,94,1223
44,84,3287
45,100,2383
46,100,1610
47,100,465
48,100,2950
49,100,2908
51,90,477
53,100,1286
54,97,247
55,95,595
57,92,3532
58,100,782
60,100,3225
62,100,215
64,100,1243
66,83,909
67,86,959
68,95,1224
69,100,3162
71,97,3972
75,95,396
76,86,2905
77,97,431
78,90,233
79,97,1391
80,100,910
82,92,1392
83,84,4547
84,100,2554
85,100,217
86,95,2549
88,90,2512
89,100,447
90,100,49
91,97,258
92,100,1783
93,100,2064
94,100,2468
95,87,3275
96,100,1120
97,92,960
98,95,2065
99,100,885
100,94,1548
101,95,341
102,100,2236
103,100,1260
104,95,644
105,100,467
106,92,54
107,92,3343
108,100,783
110,91,596
111,83,1036
112,97,1335
113,97,3199
114,95,2364
115,100,574
116,95,2268
117,100,1512
118,97,1457
120,94,2789
121,97,1058
122,100,5155
123,84,1879
124,100,3565
125,95,3684
129,100,597
130,84,2066
131,97,237
132,97,4319
133,100,933
134,100,353
135,100,1225
136,79,1559
137,95,1066
138,97,1393
139,97,501
140,97,502
142,95,1881
145,100,2573
146,100,1143
147,100,2067
148,100,874
149,97,5292
150,100,1939
154,94,1184
155,86,1262
156,100,3814
157,92,2410
158,87,3289
159,84,2068
161,95,934
162,97,3183
163,97,2796
165,81,1809
166,94,3030
167,97,384
168,95,847
169,100,1550
170,100,2837
171,100,848
172,95,3331
173,92,139
175,100,1394
177,100,758
179,90,5620
180,95,1560
183,100,3815
186,97,62
187,100,411
191,100,1833
192,100,292
193,100,3200
194,100,1834
196,97,3685
197,95,57
198,80,1626
199,92,2237
200,97,558
201,100,1561
202,89,1638
203,86,4355
204,100,1544
205,94,2797
206,97,3411
207,100,862
208,92,1954
209,100,2169
210,95,1936
211,95,414
212,100,2669
213,100,1038
214,95,3290
215,95,989
220,84,415
221,94,2574
222,100,1506
226,100,249
227,92,2872
228,91,4674
229,97,1569
230,95,3045
231,95,3566
232,97,5222
233,100,1955
234,97,3603
235,82,961
236,97,2093
237,90,2170
239,84,935
240,95,262
241,100,116
242,95,3973
243,89,962
246,100,2263
247,100,849
248,100,104
249,97,3078
254,100,1942
255,92,2411
256,100,503
258,95,646
259,100,2432
260,100,1989
261,95,1308
262,100,3345
263,89,1356
266,97,3201
267,87,1598
269,100,5355
270,87,1357
273,97,3474
276,97,2144
277,100,1772
278,78,3387
281,100,2094
282,90,598
283,83,3202
284,100,859
285,100,5133
286,97,4184
287,95,1836
288,100,2384
289,97,151
290,97,3604
291,100,4766
292,97,841
296,100,1956
298,92,628
300,94,2314
302,95,875
303,100,5495
304,100,2595
305,95,990
306,100,451
307,95,2953
309,100,3412
310,89,1458
311,89,1883
312,97,759
313,95,410
314,92,2433
315,100,2172
316,82,3051
317,100,1768
318,95,1092
319,97,2576
320,100,2469
321,97,1627
323,92,1309
324,100,2024
325,100,1613
327,100,1748
328,95,2207
329,94,3226
332,89,1696
333,100,1304
334,84,1144
336,100,599
337,100,953
338,100,1145
339,100,3413
340,89,5022
341,97,306
344,97,850
345,92,1336
347,90,964
348,89,3276
349,94,3466
350,97,3538
353,89,600
354,80,991
355,100,4357
356,100,1665
358,100,575
359,87,965
360,100,2296
361,86,3891
362,100,2238
363,100,761
364,100,830
365,100,3076
367,100,913
368,100,2653
369,94,299
370,84,576
371,90,2536
372,85,1957
374,100,3052
375,100,360
376,100,1263
377,94,1513
378,100,966
379,95,1307
380,100,1146
381,100,647
382,100,433
383,94,434
384,100,145
385,100,722
386,100,315
387,92,317
388,94,2627
389,95,2095
390,95,1949
391,97,967
392,100,2753
393,95,886
394,100,3292
395,94,3568
396,100,1639
398,87,1475
400,100,837
401,100,4647
402,100,205
403,97,887
404,100,1264
405,92,668
407,100,319
408,95,717
